id,created_at,name,slug,updated_at,url,checksum,companies,logo,platforms
977,1590987796,CP System III (CPS-3),cp-system-iii-cps-3,1590997490,https://www.igdb.com/game_engines/cp-system-iii-cps-3,ef065c2c-8784-21fc-24f9-2d6e45e5ad4d,,,
98,1414682052,Neon Engine,neon-engine,1414703938,https://www.igdb.com/game_engines/neon-engine,c265ddab-591a-fcfb-8cfd-30f26cdffc39,,,
679,1554852316,BigBang,bigbang,1555255056,https://www.igdb.com/game_engines/bigbang,247912a3-28f2-52ba-b9f4-b291c86f15f1,,,
100,1414832332,Nod Engine,nod-engine,1414845070,https://www.igdb.com/game_engines/nod-engine,e4614eae-d298-9a3d-df8b-3a29573b2011,,,
550,1516682235,Flash CS6,flash-cs6,1726045460,https://www.igdb.com/game_engines/flash-cs6,463aefaa-63c5-95b4-29be-8bf2fd2b06c2,,,
503,1504506071,Simplygon,simplygon,1634837743,https://www.igdb.com/game_engines/simplygon,a9046416-0786-491e-f2e7-887caea59406,,,
1206,1615311143,GLM,glm,1615328945,https://www.igdb.com/game_engines/glm,31649e88-d093-979d-5cde-6d84f6ee6b4c,,,
1438,1663550407,SWARM,swarm,1663596756,https://www.igdb.com/game_engines/swarm,883ef2ed-a9a7-847d-3667-11e87925fff8,,,
1189,1612483200,MapTools,maptools,1612483200,https://www.igdb.com/game_engines/maptools,2319c1f5-988b-f24d-b5a4-5aaa667a3255,,,
331,1459643400,Nitrous,nitrous,1694158185,https://www.igdb.com/game_engines/nitrous,751d4884-2df7-b7f6-e988-140f5340b54d,,,
1113,1602487613,Sunshine Engine,sunshine-engine,1663639184,https://www.igdb.com/game_engines/sunshine-engine,089eaf07-2bf1-d0dd-89ba-ebe79bbc6f54,,,
1060,1597779617,DikuMUD,dikumud,1672511810,https://www.igdb.com/game_engines/dikumud,019d0dfb-8ff5-8f8a-829e-1ba14a7b6777,,,
1177,1610668800,BepuPhysics,bepuphysics,1610668800,https://www.igdb.com/game_engines/bepuphysics,9874b633-bf4e-2104-1b64-5beeb2fee16b,,,
438,1488402744,Real Virtuality 3,real-virtuality-3,1488410642,https://www.igdb.com/game_engines/real-virtuality-3,f37c4f61-6fae-bde2-d08d-72a73a89c759,,,
972,1590900358,Sega Lindbergh,sega-lindbergh,1708045445,https://www.igdb.com/game_engines/sega-lindbergh,62fd69ec-ebef-161e-4c27-d94942df48a9,,,
689,1555972765,GlyphX Engine,glyphx-engine,1555979808,https://www.igdb.com/game_engines/glyphx-engine,5b22d24f-82c2-6a73-e909-0d7b35022df2,,,
415,1481917601,Internal Piranha Byte's Engine,internal-piranha-bytes-engine,1705888935,https://www.igdb.com/game_engines/internal-piranha-bytes-engine,c359d47a-0fac-3b3f-904b-7a5103784198,,,
133,1418522635,Terrabuilder,terrabuilder,1418523913,https://www.igdb.com/game_engines/terrabuilder,00aa9416-a94a-65cc-1fa5-85a22c9b501d,,,
166,1421936632,enhanced Adventure Island,enhanced-adventure-island,1421936934,https://www.igdb.com/game_engines/enhanced-adventure-island,49261c2c-1c3b-283d-d528-cdd3991cfe4e,,,
