genres,first_release_date,name,slug,itad_id,release_price
"[12, 31, 32]",2016-10-26,Meadow,meadow,018d937e-f99d-731c-ac4c-07b2dc4b1f15,2.99
"[2, 9, 31]",2005-01-01,Mystery Case Files: Huntsville,mystery-case-files-huntsville,018d937f-2eda-709b-bcff-8ec08565222b,9.99
"[13, 15, 31]",2016-10-27,Neo Atlas 1469,neo-atlas-1469,018d937f-17f9-71c5-8ca8-194bb09d65dc,29.99
"[13, 14]",2009-05-28,Virtua Tennis 2009,virtua-tennis-2009,018d937f-29f1-71a4-bf20-f1e00eb3deae,9.99
"[11, 12, 15, 16]",2013-09-03,Total War: Rome II,total-war-rome-ii,018d937e-ea2b-71d6-bcb2-dd0d9fd4428a,59.95
"[11, 12, 13, 15, 24, 32]",2017-05-23,Starpoint Gemini Warlords,starpoint-gemini-warlords,018d937f-13b3-72a9-9681-061d669f9bae,24.99
"[12, 15, 16, 31, 32, 35]",2016-10-14,Farabel,farabel,018d937f-0102-7347-8f41-3ad69022e7e9,100
"[13, 32, 33]",2010-06-14,DogFighter,dogfighter,018d937f-2b6b-72a2-8065-2d442e4386b3,9.99
"[5, 9, 31]",2001-10-08,Project Eden,project-eden,018d937f-0e91-7122-9566-615e4555f41d,5.99
[10],2006-07-26,Sprint Cars Road to Knoxville,sprint-cars-road-to-knoxville,018d937f-3809-709a-89e8-9212b550aa94,9.99
"[12, 13, 15, 31, 32]",2019-12-31,Hotel Sowls,hotel-sowls,018d937f-00a6-738a-80d6-07c4f4f2395b,3.99
"[13, 15]",2003-08-07,X2: The Threat,x2-the-threat,018d937f-1d1b-7024-97cf-da5a924e8857,6.99
"[8, 9, 12, 31, 32]",2021-08-04,Haven Park,haven-park,018d937f-4cca-70cc-a960-79019f488272,8.99
"[12, 32]",2016-01-15,Echoes of Aetheria,echoes-of-aetheria,018d937f-159f-7381-9c35-7efbd33b2159,14.99
"[31, 32]",2015-10-01,The Beginner's Guide,the-beginners-guide,018d937f-0a41-739e-a675-428792360468,9.99
"[12, 31]",2020-09-04,Marvel's Avengers,marvels-avengers,018d937f-3e57-7358-beda-e188e344cde7,59.99
"[8, 31, 32]",2002-10-08,Ty the Tasmanian Tiger,ty-the-tasmanian-tiger,018d937f-34a2-72e7-8505-8d8367e3e4e0,11.99
"[13, 31]",2023-09-28,Dolphin Spirit: Ocean Mission,dolphin-spirit-ocean-mission,018d937f-6f0d-72b5-b774-b8daaab8aa0c,24.26
"[13, 15]",2016-12-13,Glittermitten Grove,glittermitten-grove,018d937f-1904-719d-84f8-cabf486117d3,19.99
"[2, 9, 31, 32]",2008-07-18,The Lost Crown,the-lost-crown,018d937f-09d8-70ad-932e-2deaf224f13b,19.99
"[13, 14]",2018-11-02,Football Manager 2019,football-manager-2019,018d937e-ffb6-711b-80f1-d8930022119c,49.99
"[8, 10, 13, 32]",2015-06-04,Polyball,polyball,018d937f-1ae3-7041-88fe-7d97a072e1c3,14.99
"[13, 15]",2024-05-23,Galacticare,galacticare,018d937f-6c7c-733c-bd24-549abf9df5c6,29.99
"[31, 32]",2015-06-05,Niko: Through the Dream,niko-through-the-dream,018d937f-2095-72db-bf17-b6dad590c045,9.99
"[4, 32, 33]",2018-11-06,Omen of Sorrow,omen-of-sorrow,018d937f-2842-7235-9c2c-7306a72f2945,19.99
"[8, 31, 32, 33]",2010-12-30,Koumajou Remilia Ⅱ: Stranger's Requiem,koumajou-remilia-ii-strangers-requiem,018d937f-72ea-701e-a137-409791e0d31a,29.99
